Rank,Company,Market Cap (USD),Country,Sector,Industry,Unnamed: 6
94,LDC SA,"$2.60 B  (July 1, 2024)",France,French Consumer Staples,French Packaged Foods,
95,Trigano SA,$2.44 B,France,French Consumer Discretionary,French Recreational Vehicles,
96,Imerys SA,$2.41 B,France,French Basic Materials,French Building Materials,
97,Worldline SA,$2.39 B,France,French Technology,French Software—Infrastructure,
98,Carmila SA,$2.33 B,France,French Real Estate,French REIT—Retail,
99,SES-imagotag SA,"$2.32 B  (Jan. 1, 2024)",France,French Technology,French Electronic Components,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
100,COFACE SA,$2.27 B,France,French Financials,French Insurance—Reinsurance,
101,Altarea SCA,$2.21 B,France,French Real Estate,French REIT—Residential,
102,Talend SA,"$2.17 B  (July 1, 2021)",France,French Technology,French Software—Infrastructure,
103,Unibel,$2.14 B,France,French Consumer Staples,French Packaged Foods,
104,Air France-KLM SA,$2.09 B,France,French Industrials,French Airlines,
105,Criteo SA,$2.08 B,France,French Communication Services,French Advertising Agencies,
106,Crédit Agricole d'Ile-de-France,$2.06 B,France,French Financials,French Banks—Regional,
107,Ipsos SA,$2.04 B,France,French Communication Services,French Advertising Agencies,
108,Robertet SA,$1.82 B,France,French Basic Materials,French Chemicals,
109,Peugeot Invest SA,$1.81 B,France,French Financials,French Asset Management,
110,Vicat SA,$1.76 B,France,French Basic Materials,French Building Materials,
111,Stef SA,$1.74 B,France,French Industrials,French Integrated Freight & Logistics,
112,Icade SA,$1.71 B,France,French Real Estate,French REIT—Diversified,
113,Cie Plastic Omnium SA,"$1.69 B  (July 1, 2024)",France,French Consumer Discretionary,French Auto Parts,
114,Eramet SA,$1.68 B,France,French Basic Materials,French Other Industrial Metals & Mining,
115,Télévision Française 1 SA,$1.62 B,France,French Communication Services,French Broadcasting,
116,Esker SA,$1.62 B,France,French Technology,French Software—Application,
117,Eutelsat Communications SA,$1.60 B,France,French Technology,French Communication Equipment,
118,Vilmorin & Cie SA,"$1.59 B  (July 1, 2023)",France,French Consumer Staples,French Farm Products,
119,Esso S.A.F.,$1.59 B,France,French Energy,French Oil & Gas Refining & Marketing,
120,ARGAN SA,$1.58 B,France,French Real Estate,French REIT—Industrial,
121,Metropole Television SA,$1.57 B,France,French Communication Services,French Broadcasting,
122,Ubisoft Entertainment SA,$1.57 B,France,French Communication Services,French Electronic Gaming & Multimedia,
123,Devoteam SA,"$1.56 B  (Dec. 1, 2021)",France,French Technology,French Information Technology Services,
124,Constellium SE,$1.53 B,France,French Basic Materials,French Aluminum,
125,"Casino, Guichard-Perrachon SA",$1.51 B,France,French Consumer Staples,French Grocery Stores,
126,Société pour l'Informatique Industrielle SII SA,"$1.49 B  (Jan. 1, 2024)",France,French Technology,French Information Technology Services,
127,Albioma,"$1.48 B  (Sept. 1, 2022)",France,French Utilities,French Utilities—Renewable,
128,Financiere Moncey,"$1.45 B  (April 1, 2023)",France,French Financials,French Asset Management,
129,Ramsay Générale de Santé SA,$1.32 B,France,French Healthcare,French Medical Care Facilities,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
130,Lisi SA,$1.27 B,France,French Industrials,French Aerospace & Defense,
131,Caisse Regionale de Credit Agricole Mutuel du Languedoc SCCV,$1.12 B,France,French Financials,French Banks—Regional,
132,Wavestone SA,$1.11 B,France,French Technology,French Information Technology Services,
133,Neurones,$1.10 B,France,French Technology,French Information Technology Services,
134,Lectra SA,$1.03 B,France,French Technology,French Software—Application,
135,Etablissements Maurel et Prom SA,$1.03 B,France,French Energy,French Oil & Gas E&P,
136,Caisse Regionale de Credit Agricole Mutuel Brie Picardie,$1.03 B,France,French Financials,French Banks—Regional,
137,Mercialys,$1.01 B,France,French Real Estate,French REIT—Retail,
138,ESI Group,"$974.5 M  (Jan. 1, 2024)",France,French Technology,French Software—Application,
139,Frey SA,$934.2 M,France,French Real Estate,French REIT—Retail,
140,Electricite de Strasbourg SA,$932.5 M,France,French Utilities,French Utilities—Renewable,
141,Voltalia SA,$928.8 M,France,French Utilities,French Utilities—Renewable,
142,Manutan International SA,"$870.7 M  (Feb. 1, 2023)",France,French Industrials,French Specialty Business Services,
143,Altareit SCA,$869.6 M,France,French Real Estate,French Real Estate—Development,
144,Derichebourg SA,$851.9 M,France,French Industrials,French Waste Management,
145,Vetoquinol SA,$837.1 M,France,French Healthcare,French Drug Manufacturers—Specialty & Generic,
146,Fnac Darty SA,$798.8 M,France,French Consumer Discretionary,French Specialty Retail,
147,Tarkett SA,$794.4 M,France,French Industrials,French Building Products & Equipment,
148,Cie des Alpes,$778.2 M,France,French Consumer Discretionary,French Leisure,
149,Delta Plus Group,"$752.5 M  (Dec. 1, 2021)",France,French Consumer Discretionary,French Footwear & Accessories,
150,VIEL & Cie SA,$750.3 M,France,French Financials,French Capital Markets,
151,Bénéteau SA,$747.3 M,France,French Consumer Discretionary,French Leisure,
152,Pierre et Vacances SA,$734.4 M,France,French Consumer Discretionary,French Lodging,
153,Savencia SA,$714.6 M,France,French Consumer Staples,French Packaged Foods,
154,Korian,$713.5 M,France,French Healthcare,French Medical Care Facilities,
155,Acanthe Développement SA,$711.8 M,France,French Real Estate,French REIT—Office,
156,Synergie SA,$710.0 M,France,French Industrials,French Staffing & Employment Services,
157,Groupe Crit,$701.3 M,France,French Industrials,French Staffing & Employment Services,
158,BASSAC Societe anonyme,$700.8 M,France,French Consumer Discretionary,French Residential Construction,
159,Nexity SA,$699.7 M,France,French Real Estate,French Real Estate—Diversified,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
160,Elior Group SA,$677.8 M,France,French Consumer Discretionary,French Restaurants,
161,Thermador Groupe,$661.3 M,France,French Industrials,French Industrial Distribution,
162,Caisse Regionale de Credit Agricole Mutuel Alpes Provence,$659.9 M,France,French Financials,French Banks—Regional,
163,TFF Group,$645.2 M,France,French Consumer Discretionary,French Packaging & Containers,
164,Kaufman & Broad SA,$642.8 M,France,French Consumer Discretionary,French Residential Construction,
165,Credit Agricole Atlantique Vendee,$638.0 M,France,French Financials,French Banks—Regional,
166,Quadient SA,$632.4 M,France,French Technology,French Software—Application,
167,Tessi SA,"$625.4 M  (Nov. 1, 2021)",France,French Technology,French Information Technology Services,
168,Manitou BF SA,$625.1 M,France,French Industrials,French Specialty Industrial Machinery,
169,Pharmagest Interactive SA,$616.7 M,France,French Healthcare,French Health Information Services,
170,Séché Environnement SA,$613.6 M,France,French Industrials,French Waste Management,
171,Oeneo SA,$606.5 M,France,French Consumer Staples,French Beverages—Wineries & Distilleries,
172,Laurent-Perrier,$604.7 M,France,French Consumer Staples,French Beverages—Wineries & Distilleries,
173,Aubay SA,$594.3 M,France,French Technology,French Information Technology Services,
174,Credit Regionale de Credit Agricole Mutuel Sud Rhone Alpes,$580.0 M,France,French Financials,French Banks—Regional,
175,Burelle SA,$578.2 M,France,French Consumer Discretionary,French Auto Parts,
176,GL Events SA,$572.5 M,France,French Industrials,French Specialty Business Services,
177,NRJ Group,$563.8 M,France,French Communication Services,French Broadcasting,
178,Assystem SA,$559.7 M,France,French Industrials,French Engineering & Construction,
179,ABIVAX SA,$535.9 M,France,French Healthcare,French Biotechnology,
180,Groupe Guillin,$532.8 M,France,French Consumer Discretionary,French Packaging & Containers,
181,Caisse Regionale de Credit Agricole Mutuel de Normandie-Seine,$532.2 M,France,French Financials,French Banks—Regional,
182,Samse SA,$527.8 M,France,French Industrials,French Industrial Distribution,
183,Voyageurs du Monde,$510.8 M,France,French Consumer Discretionary,French Travel Services,
184,IDI SCA,$509.2 M,France,French Financials,French Asset Management,
185,Mersen SA,$505.2 M,France,French Industrials,French Electrical Equipment & Parts,
186,Credit Agricole Loire Haute-Loire,$504.4 M,France,French Financials,French Banks—Regional,
187,MedinCell SA,$498.3 M,France,French Healthcare,French Biotechnology,
