Rank,Company,Market Cap (USD),Country,Sector,Industry,Unnamed: 6,Market Cap ( Billion USD)
97,Worldline SA,$2.39 B,France,French Technology,French Software—Infrastructure,,2.39
98,Carmila SA,$2.33 B,France,French Real Estate,French REIT—Retail,,2.33
99,SES-imagotag SA,"$2.32 B  (Jan. 1, 2024)",France,French Technology,French Electronic Components,,2.32
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,
100,COFACE SA,$2.27 B,France,French Financials,French Insurance—Reinsurance,,2.27
101,Altarea SCA,$2.21 B,France,French Real Estate,French REIT—Residential,,2.21
102,Talend SA,"$2.17 B  (July 1, 2021)",France,French Technology,French Software—Infrastructure,,2.17
103,Unibel,$2.14 B,France,French Consumer Staples,French Packaged Foods,,2.14
104,Air France-KLM SA,$2.09 B,France,French Industrials,French Airlines,,2.09
105,Criteo SA,$2.08 B,France,French Communication Services,French Advertising Agencies,,2.08
106,Crédit Agricole d'Ile-de-France,$2.06 B,France,French Financials,French Banks—Regional,,2.06
107,Ipsos SA,$2.04 B,France,French Communication Services,French Advertising Agencies,,2.04
108,Robertet SA,$1.82 B,France,French Basic Materials,French Chemicals,,1.82
109,Peugeot Invest SA,$1.81 B,France,French Financials,French Asset Management,,1.81
110,Vicat SA,$1.76 B,France,French Basic Materials,French Building Materials,,1.76
111,Stef SA,$1.74 B,France,French Industrials,French Integrated Freight & Logistics,,1.74
112,Icade SA,$1.71 B,France,French Real Estate,French REIT—Diversified,,1.71
113,Cie Plastic Omnium SA,"$1.69 B  (July 1, 2024)",France,French Consumer Discretionary,French Auto Parts,,1.69
114,Eramet SA,$1.68 B,France,French Basic Materials,French Other Industrial Metals & Mining,,1.68
115,Télévision Française 1 SA,$1.62 B,France,French Communication Services,French Broadcasting,,1.62
116,Esker SA,$1.62 B,France,French Technology,French Software—Application,,1.62
117,Eutelsat Communications SA,$1.60 B,France,French Technology,French Communication Equipment,,1.6
118,Vilmorin & Cie SA,"$1.59 B  (July 1, 2023)",France,French Consumer Staples,French Farm Products,,1.59
119,Esso S.A.F.,$1.59 B,France,French Energy,French Oil & Gas Refining & Marketing,,1.59
120,ARGAN SA,$1.58 B,France,French Real Estate,French REIT—Industrial,,1.58
121,Metropole Television SA,$1.57 B,France,French Communication Services,French Broadcasting,,1.57
122,Ubisoft Entertainment SA,$1.57 B,France,French Communication Services,French Electronic Gaming & Multimedia,,1.57
123,Devoteam SA,"$1.56 B  (Dec. 1, 2021)",France,French Technology,French Information Technology Services,,1.56
124,Constellium SE,$1.53 B,France,French Basic Materials,French Aluminum,,1.53
125,"Casino, Guichard-Perrachon SA",$1.51 B,France,French Consumer Staples,French Grocery Stores,,1.51
126,Société pour l'Informatique Industrielle SII SA,"$1.49 B  (Jan. 1, 2024)",France,French Technology,French Information Technology Services,,1.49
127,Albioma,"$1.48 B  (Sept. 1, 2022)",France,French Utilities,French Utilities—Renewable,,1.48
128,Financiere Moncey,"$1.45 B  (April 1, 2023)",France,French Financials,French Asset Management,,1.45
129,Ramsay Générale de Santé SA,$1.32 B,France,French Healthcare,French Medical Care Facilities,,1.32
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,
130,Lisi SA,$1.27 B,France,French Industrials,French Aerospace & Defense,,1.27
131,Caisse Regionale de Credit Agricole Mutuel du Languedoc SCCV,$1.12 B,France,French Financials,French Banks—Regional,,1.12
132,Wavestone SA,$1.11 B,France,French Technology,French Information Technology Services,,1.11
133,Neurones,$1.10 B,France,French Technology,French Information Technology Services,,1.1
134,Lectra SA,$1.03 B,France,French Technology,French Software—Application,,1.03
135,Etablissements Maurel et Prom SA,$1.03 B,France,French Energy,French Oil & Gas E&P,,1.03
