Investor Name,Location,Total Investments,Lead Investments,company_name_hyphens,URL,Type,Status,Total investments,Average round size,Portfolio companies,Rounds per year,Lead investments,Follow on index,Exits,Stages of investment,Areas of investment
Realty Corporation,,0,,realty-corporation,https://unicorn-nest.com/funds/realty-corporation,Venture Capital,Active,,0,,,,,,,
Revolt Ventures,,0,,revolt-ventures,https://unicorn-nest.com/funds/revolt-ventures,,,9,0,8,2.25,1,0.11,,,Real EstateE-CommerceSoftwareInformation TechnologyMobileSaaSAppsFashionCoworkingCommercial Real Estate
Rise Proptech,,0,,rise-proptech,https://unicorn-nest.com/funds/rise-proptech,Venture Capital,Active,6,0,5,3.00,,0.17,,Early Stage Venture,Real EstateSoftwareInformation TechnologySaaSManufacturingConstructionElectronicsIndustrial EngineeringMechanical EngineeringScheduling
Rocax,,0,,rocax,https://unicorn-nest.com/funds/rocax,,,,0,,,,,,,
Safran Corporate Venture,,0,,safran-corporate-venture,https://unicorn-nest.com/funds/safran-corporate-venture,,,,0,,,,,,,
Sagona Capital,,0,,sagona-capital,https://unicorn-nest.com/funds/sagona-capital,,,,0,,,,,,,
Serena Vc,,0,,serena-vc,https://unicorn-nest.com/funds/serena-vc,,,,0,,,,,,,
Session.Vc,,0,,sessionvc,https://unicorn-nest.com/funds/sessionvc,,,,0,,,,,,,
Seventure Partners,,0,,seventure-partners,https://unicorn-nest.com/funds/seventure-partners,Venture Capital,Active,273,0,184,10.11,73,0.32,51,Private EquityEarly Stage VentureLate Stage Venture,BiotechnologySoftwareInformation TechnologyHealth CareMedical DeviceMedicalLife SciencePharmaceuticalTherapeuticsBiopharma
Sfld,,0,,sfld,https://unicorn-nest.com/funds/sfld,,,,0,,,,,,,
Shunde Xizheng Trading,,0,,shunde-xizheng-trading,https://unicorn-nest.com/funds/shunde-xizheng-trading,,,1,0,1,0.11,,,1,,E-CommerceGamingHardware
Sigma Gestion,,0,,sigma-gestion,https://unicorn-nest.com/funds/sigma-gestion,,,51,0,46,1.70,10,0.10,9,Early Stage Venture,E-CommerceInternetSoftwareRetailInformation TechnologyHealth CareSaaSManufacturingMedical DeviceElectronics
Silver Lake,,0,,silver-lake,https://unicorn-nest.com/funds/silver-lake,Venture Capital,Active,145,0,108,5.80,34,0.25,44,Private EquityLate Stage Venture,E-CommerceInternetSoftwareFinancial ServicesFinTechInformation TechnologyMobileHealth CareSaaSEnterprise Software
Social Starts,,0,,social-starts,https://unicorn-nest.com/funds/social-starts,Venture Capital,Active,471,0,343,39.25,9,0.26,51,SeedEarly Stage Venture,E-CommerceInternetSoftwareMobileArtificial IntelligenceMachine LearningHealth CareSaaSAppsSocial Media
Sofimac Partners,,0,,sofimac-partners,https://unicorn-nest.com/funds/sofimac-partners,,,73,0,67,1.62,7,0.08,12,SeedEarly Stage Venture,BiotechnologySoftwareInformation TechnologyHealth CareManufacturingMedical DeviceMedicalElectronicsChemicalIndustrial
Sofinnova Partners,,0,,sofinnova-partners,https://unicorn-nest.com/funds/sofinnova-partners,"Venture Capital, Accelerator/Incubator",Active,330,0,186,6.35,105,0.44,60,SeedEarly Stage VentureLate Stage Venture,BiotechnologySoftwareHealth CareManufacturingMedical DeviceMedicalLife SciencePharmaceuticalTherapeuticsBiopharma
Sofiouest,,0,,sofiouest,https://unicorn-nest.com/funds/sofiouest,Venture Capital,Active,17,0,15,0.45,4,0.12,,,E-CommerceInternetSoftwareInformation TechnologyHuman ResourcesRecruitingSaaSMarketingConsultingStaffing Agency
Soft Bank,,0,,soft-bank,https://unicorn-nest.com/funds/soft-bank,,,,0,,,,,,,
Sophia Antipolis Business Angels,,0,,sophia-antipolis-business-angels,https://unicorn-nest.com/funds/sophia-antipolis-business-angels,,,,0,,,,,,,
Soulvest,,0,,soulvest,https://unicorn-nest.com/funds/soulvest,,,,0,,,,,,,
Speed Invest,,0,,speed-invest,https://unicorn-nest.com/funds/speed-invest,,,,0,,,,,,,
Stard,,0,,stard,https://unicorn-nest.com/funds/stard,,,,0,,,,,,,
Starquest Capital,,0,,starquest-capital,https://unicorn-nest.com/funds/starquest-capital,,,64,0,5,9.14,5,0.11,,Early Stage VentureLate Stage Venture,E-CommerceSalesMobileFood and BeverageFitnessHealth CareHealth DiagnosticsWellnessMedical DeviceTherapeutics
Stronghold,,0,,stronghold,https://unicorn-nest.com/funds/stronghold,,,,0,,,,,,,
Surplus Invest,,0,,surplus-invest,https://unicorn-nest.com/funds/surplus-invest,,,15,0,10,2.50,3,0.33,,SeedEarly Stage Venture,Real EstateCommercialInternetSoftwareInformation TechnologyArtificial IntelligenceSaaSBig DataMarket ResearchComputer
Sv Angel,,0,,sv-angel,https://unicorn-nest.com/funds/sv-angel,,,1481,0,1106,98.73,13,0.25,357,SeedEarly Stage Venture,E-CommerceInternetSoftwareFinancial ServicesFinTechInformation TechnologyMobileSaaSAppsEnterprise Software
Swisslife,,0,,swisslife,https://unicorn-nest.com/funds/swisslife,,,,0,,,,,,,
Synergo Capital,,0,,synergo-capital,https://unicorn-nest.com/funds/synergo-capital,,,38,0,35,1.90,4,0.08,9,Private Equity,AutomotiveCommercialSoftwareInformation TechnologyArtificial IntelligenceSaaSManufacturingAutonomous VehiclesEnergyOil and Gas
