Investor Name,Location,Total Investments,Lead Investments,company_name_hyphens,URL,Total investments,Average round size,Portfolio companies,Rounds per year,Lead investments,Areas of investment,Follow on index,Exits,Stages of investment,Type,Status
Xunfang Fund,,1,0,xunfang-fund,https://unicorn-nest.com/funds/xunfang-fund,1,0,1,,,Food and BeverageFarmingFruit,,,,,
Xunfei Venture Capital,,6,1,xunfei-venture-capital,https://unicorn-nest.com/funds/xunfei-venture-capital,6,0,5,,1,BiotechnologyArtificial IntelligenceHealth CareManufacturingMedicalPharmaceuticalSemiconductorBiopharmaSensor,0.17,,,,
Xunjia Investment Management,"Shenzhen, Guangdong, China",1,0,xunjia-investment-management,https://unicorn-nest.com/funds/xunjia-investment-management,1,0,1,0.07,,RetailIntelligent SystemsHardware,,,,,
Xunjing Technology,,1,1,xunjing-technology,https://unicorn-nest.com/funds/xunjing-technology,1,0,1,,1,Information TechnologyManufacturingIndustrial Automation,,,,,
Xunlei,"Shenzhen, Guangdong, China",12,2,xunlei,https://unicorn-nest.com/funds/xunlei,12,0,10,0.63,2,SoftwareInformation ServicesGamingContentVirtual RealityVideoConsumer ElectronicsPhotographyOnline GamesCloud Storage,0.17,1,,,
Xunshang Venture Capital,,2,1,xunshang-venture-capital,https://unicorn-nest.com/funds/xunshang-venture-capital,2,0,2,,1,AutomotiveAutonomous Vehicles,,,,,
Xuntos Capital,,2,0,xuntos-capital,https://unicorn-nest.com/funds/xuntos-capital,2,0,1,,,E-Learning,0.50,,,,
Xunuo Asset,"Shanghai, Shanghai, China",2,0,xunuo-asset,https://unicorn-nest.com/funds/xunuo-asset,2,0,1,0.15,,Media and EntertainmentService IndustryArt,0.50,,,,
Xunxi Touzi,"Sichuan, Shuangliu, China",1,0,xunxi-touzi,https://unicorn-nest.com/funds/xunxi-touzi,1,0,1,0.12,,Information ServicesNavigationGPS,,,,,
Xunxiang Touzi,"Guangdong, Zhangshan, China",1,0,xunxiang-touzi,https://unicorn-nest.com/funds/xunxiang-touzi,1,0,1,0.10,,Information TechnologyInformation ServicesEducation,,1,,,
Xunyuan Guquan Touzi Jijin Guanli,"Gansu, Lanzhou, China",1,0,xunyuan-guquan-touzi-jijin-guanli,https://unicorn-nest.com/funds/xunyuan-guquan-touzi-jijin-guanli,1,0,1,0.12,,BiotechnologyManufacturingMedicalPharmaceutical,,,,,
Xunzhao Zhongguo Chuangke,"Hangzhou, Zhejiang, China",1,0,xunzhao-zhongguo-chuangke,https://unicorn-nest.com/funds/xunzhao-zhongguo-chuangke,1,0,1,,,Artificial IntelligenceAdvertisingContent MarketingSemantic Web,,,Early Stage Venture,,
Xura,"United States, Massachusetts, Wakefield",3,1,xura,https://unicorn-nest.com/funds/xura,3,0,3,0.12,1,InternetSoftwareNetwork SecurityElectronicsTelecommunicationsWirelessCommunications InfrastructureISPWeb Browsers,,,,,
Xushen Wenhua Jiaoyu,"Henan, Luohe, China",1,0,xushen-wenhua-jiaoyu,https://unicorn-nest.com/funds/xushen-wenhua-jiaoyu,1,0,1,,,RetailDigital EntertainmentArt,,,,,
Xuyan Shangwu Zixun,"Fengxian District, China",1,0,xuyan-shangwu-zixun,https://unicorn-nest.com/funds/xuyan-shangwu-zixun,1,0,1,0.20,,E-CommerceTrainingElectronics,,,,,
Xuying Touzi,"Shanghai, Jiading, China",1,0,xuying-touzi,https://unicorn-nest.com/funds/xuying-touzi,1,0,1,0.17,,Health CareHealth DiagnosticsMedical,,,,,
Xuzhou Airport Economic Development Zone,,1,0,xuzhou-airport-economic-development-zone,https://unicorn-nest.com/funds/xuzhou-airport-economic-development-zone,1,0,0,,,3D Technology3D PrintingPrinting,,,,,
Xuzhou Dinglong Investment,"Jiangsu, Xuzhou, China",1,0,xuzhou-dinglong-investment,https://unicorn-nest.com/funds/xuzhou-dinglong-investment,1,0,1,0.50,,InternetHealth CareManufacturingMedical DeviceMedicalPharmaceuticalVideoEnergyAudioOil and Gas,,,,,
Xuzhou Handler Special Vehicle,"Jiangsu, Xuzhou, China",3,0,xuzhou-handler-special-vehicle,https://unicorn-nest.com/funds/xuzhou-handler-special-vehicle,3,0,1,0.19,,E-CommerceRoboticsIndustrial Manufacturing,0.67,,,,
Xuzhou Industrial Fund,,1,0,xuzhou-industrial-fund,https://unicorn-nest.com/funds/xuzhou-industrial-fund,1,0,1,,,SoftwareInformation TechnologyArtificial IntelligenceRoboticsInternet of Things,,,,,
Xuzhou Jingji Jishu Kaifaqu Jinlonghu Chengshi Touzi,"Jiangsu, Xuzhou, China",1,1,xuzhou-jingji-jishu-kaifaqu-jinlonghu-chengshi-touzi,https://unicorn-nest.com/funds/xuzhou-jingji-jishu-kaifaqu-jinlonghu-chengshi-touzi,1,0,1,0.25,1,AutomotiveRetailManufacturing,,,,,
Xuzhou Science and Technology Ventures,"Shandong, Pudong, China",2,1,xuzhou-science-and-technology-ventures,https://unicorn-nest.com/funds/xuzhou-science-and-technology-ventures,2,0,2,0.50,1,LogisticsInformation TechnologyRoboticsElectronicsIndustrial AutomationWarehousing,,,,,
Xuzhou Zhengwei Investment,"Jiangsu, Xuzhou, China",3,0,xuzhou-zhengwei-investment,https://unicorn-nest.com/funds/xuzhou-zhengwei-investment,3,0,3,0.60,,InternetHealth CareManufacturingMedical DeviceMedicalPharmaceuticalVideoEnergyAudioOil and Gas,,,,,
Xuzhou Zhichuang Industrial Investment Fund,,1,1,xuzhou-zhichuang-industrial-investment-fund,https://unicorn-nest.com/funds/xuzhou-zhichuang-industrial-investment-fund,1,0,1,,1,LogisticsBattery,,,,,
Xymax,"Chiba Prefecture, Tateyama, Japan",2,1,xymax,https://unicorn-nest.com/funds/xymax,2,0,2,,1,InternetE-LearningInformation ServicesEdTechEducation,,,,,
Y Combinator,"United States, California, Mountain View",6833,503,y-combinator,https://unicorn-nest.com/funds/y-combinator,6833,0,4963,359.63,503,E-CommerceInternetSoftwareFinancial ServicesFinTechInformation TechnologyArtificial IntelligenceHealth CareSaaSApps,0.19,354,SeedEarly Stage Venture,,
Y Combinator,"United States, California, Mountain View",6833,503,y-combinator,https://unicorn-nest.com/funds/y-combinator,6833,0,4963,359.63,503,E-CommerceInternetSoftwareFinancial ServicesFinTechInformation TechnologyArtificial IntelligenceHealth CareSaaSApps,0.19,354,SeedEarly Stage Venture,,
Y Combinator,"United States, Mountain View",0,,y-combinator,https://unicorn-nest.com/funds/y-combinator,6833,0,4963,359.63,503,E-CommerceInternetSoftwareFinancial ServicesFinTechInformation TechnologyArtificial IntelligenceHealth CareSaaSApps,0.19,354,SeedEarly Stage Venture,,
Y Combinator,"United States, Mountain View",0,,y-combinator,https://unicorn-nest.com/funds/y-combinator,6833,0,4963,359.63,503,E-CommerceInternetSoftwareFinancial ServicesFinTechInformation TechnologyArtificial IntelligenceHealth CareSaaSApps,0.19,354,SeedEarly Stage Venture,,
Y Combinator Continuity Fund,"United States, California, Mountain View",76,4,y-combinator-continuity-fund,https://unicorn-nest.com/funds/y-combinator-continuity-fund,76,0,55,9.50,4,E-CommerceInternetSoftwareFinancial ServicesFinTechAnalyticsHuman ResourcesFinanceSaaSEnterprise Software,0.28,1,Early Stage VentureLate Stage Venture,,
Y Experiment,"Greater Poland Voivodeship, PoznaÅ, Poland",5,3,y-experiment,https://unicorn-nest.com/funds/y-experiment,5,0,5,0.83,3,SoftwareAnalyticsManufacturingComputerVideoAdvertisingDigital MediaVideo GamesIndustrial AutomationAd Retargeting,,,Seed,,
Y Investments Philippines,"Manila, Makati, Philippines",4,2,y-investments-philippines,https://unicorn-nest.com/funds/y-investments-philippines,4,0,4,1.00,2,SoftwareFinancial ServicesFinTechInformation TechnologyMobileHealth CareHospitalBig DataLendingClinical Trials,,,SeedEarly Stage VentureLate Stage Venture,,
Y S Capital,"Maharashtra, Sewri, India",1,0,y-s-capital,https://unicorn-nest.com/funds/y-s-capital,1,0,1,0.05,,MobileManufacturingMarketing,,,,,
Y Soft Ventures,"Czechia, Southeast, Jihomoravsky kraj",16,5,y-soft-ventures,https://unicorn-nest.com/funds/y-soft-ventures,16,0,13,1.45,5,SoftwareAppsNational SecurityAugmented RealityVirtual RealityVideoInternet of ThingsDigital MediaData StorageGPU,0.19,,SeedEarly Stage Venture,,
Y Ventures,"United States, California, Monrovia",6,0,y-ventures,https://unicorn-nest.com/funds/y-ventures,6,0,3,0.40,,E-CommerceSoftwareMobile AppsMarketplaceLocalTravelShoppingHospitalityTravel AccommodationsPrice Comparison,0.50,2,SeedEarly Stage Venture,,
Y&Archer,"Seoul, Seoul-t'ukpyolsi, South Korea",21,10,yarcher,https://unicorn-nest.com/funds/yarcher,21,0,21,2.33,10,E-CommerceSoftwareRetailInformation TechnologyFood and BeverageAppsManufacturingFashionConsumer ElectronicsElectronics,,,,,
Y&N Brothers,"Tokyo, Japan",3,1,yn-brothers,https://unicorn-nest.com/funds/yn-brothers,3,0,3,0.38,1,E-LearningSMSEducationContentMarketingAdvertisingMedia and EntertainmentUnified CommunicationsOperating Systems,,,,,
Y&R Capital,"Beijing, Beijing, China",17,6,yr-capital,https://unicorn-nest.com/funds/yr-capital,17,0,14,1.89,6,AutomotiveBiotechnologyInformation TechnologyAppsRoboticsAerospaceManufacturingMedical DeviceIntelligent SystemsDigital Entertainment,0.18,1,Early Stage Venture,,
Y-Alliance Investment,"Seoul-t'ukpyolsi, Yeoksamdong, South Korea",1,0,y-alliance-investment,https://unicorn-nest.com/funds/y-alliance-investment,1,0,1,,,InternetInformation ServicesCleanTech,,,Early Stage Venture,,
Y.Z. Capital,"Guangdong Province, Zhenjiang, China",3,0,yz-capital,https://unicorn-nest.com/funds/yz-capital,,0,,,,,,,,,
Y1 Ventures,,2,1,y1-ventures,https://unicorn-nest.com/funds/y1-ventures,2,0,1,,1,HospitalityTravel AccommodationsSharing EconomyVacation Rental,0.50,,,,
YA Global,,1,1,ya-global,https://unicorn-nest.com/funds/ya-global,1,0,1,,1,ManufacturingElectronics,,,,,
YA Global Master SPV,"United States, New Jersey, Mountainside",2,1,ya-global-master-spv,https://unicorn-nest.com/funds/ya-global-master-spv,2,0,2,,1,BiotechnologyHealth CareHealth DiagnosticsPharmaceutical,,2,Private Equity,,
YA II PN,,1,0,ya-ii-pn,https://unicorn-nest.com/funds/ya-ii-pn,1,0,1,,,Health CarePersonal Health,,1,,,
YAC.social,"United States, Michigan, Grand Rapids",1,0,yacsocial,https://unicorn-nest.com/funds/yacsocial,,0,,,,,,,,,
YAGI,"Osaka Prefecture, Osaka, Japan",2,0,yagi,https://unicorn-nest.com/funds/yagi,2,0,2,0.02,,ManufacturingLifestyleFashionMedia and EntertainmentOutsourcing,,1,,,
YAM Invest,"Noord-Holland, Amsterdam, The Netherlands",2,0,yam-invest,https://unicorn-nest.com/funds/yam-invest,2,0,1,,,InternetInformation Technology,0.50,,Private Equity,,
YAMADA Consulting Group,"Tokyo, Japan",5,0,yamada-consulting-group,https://unicorn-nest.com/funds/yamada-consulting-group,5,0,5,0.16,,InternetTransportationRoboticsManufacturingMedicalProduct DesignInternet of ThingsWeb DevelopmentProduct ResearchIndustrial Design,,,,,
YAMASHITA,,3,0,yamashita,https://unicorn-nest.com/funds/yamashita,3,0,2,,,InternetHealth CareAppsRoboticsMedical DeviceMedicalTourism,0.33,,,,
YAMAZEN,"Chiyoda, Japan",1,1,yamazen,https://unicorn-nest.com/funds/yamazen,1,0,1,,1,Artificial IntelligenceMachine LearningEnterprise SoftwareRoboticsAutonomous Vehicles,,,,,
YAP Capital,"Germany, Munich",1,0,yap-capital,https://unicorn-nest.com/funds/yap-capital,1,0,1,,,Financial ServicesFinanceSmall and Medium Businesses,,,,Venture Capital,Active
YARD [Hub] VC,"Dubai, United Arab Emirates",1,0,yard-hub-vc,https://unicorn-nest.com/funds/yard-hub-vc,1,0,1,,,SoftwareEdTechWeb Apps,,,,,
YAS Capital Partners,"United States, Massachusetts, Boston",4,0,yas-capital-partners,https://unicorn-nest.com/funds/yas-capital-partners,4,0,2,,,SocialSemiconductorDigital EntertainmentMedia and EntertainmentWeb HostingCommunication HardwareNetwork HardwareTV,0.50,2,,,
YAS Investments,"Dubai, United Arab Emirates",1,0,yas-investments,https://unicorn-nest.com/funds/yas-investments,1,0,1,0.25,,Food and BeverageDelivery,,,,,
YAS Takaful,,2,0,yas-takaful,https://unicorn-nest.com/funds/yas-takaful,2,0,1,,,Information TechnologyInformation ServicesBlockchain,0.50,,,,
YASKAWA Electric Corporation,"Fukuoka Prefecture, Kitakyushu, Japan",16,4,yaskawa-electric-corporation,https://unicorn-nest.com/funds/yaskawa-electric-corporation,16,0,15,0.15,4,AutomotiveSoftwareInformation TechnologyArtificial IntelligenceManufacturingMedicalComputerElectronicsEnergyRenewable Energy,0.06,2,,,
YAXA,"United States, Massachusetts, Concord",1,1,yaxa,https://unicorn-nest.com/funds/yaxa,1,0,1,0.17,1,AutomotiveE-CommerceService Industry,,,,,
YAY Games,,1,1,yay-games,https://unicorn-nest.com/funds/yay-games,1,0,1,,1,,,,,,
YBA Kanoo,,2,1,yba-kanoo,https://unicorn-nest.com/funds/yba-kanoo,2,0,2,,1,LogisticsE-CommerceSupply Chain ManagementInformation TechnologyAerospaceManufacturingDelivery ServiceElectronicsEnergyIndustrial,,,,,
YBB,"Gangwon-do, South Korea, South Korea",2,0,ybb,https://unicorn-nest.com/funds/ybb,2,0,2,,,GamingCryptocurrency,,,,,
YBB Foundation,"Singapore, Singapore",14,0,ybb-foundation,https://unicorn-nest.com/funds/ybb-foundation,14,0,13,,,SoftwareFinancial ServicesAnalyticsInformation TechnologyFinanceInsuranceBitcoinCryptocurrencyBlockchainTrading Platform,0.07,,,Venture Capital,Active
YBL,,1,0,ybl,https://unicorn-nest.com/funds/ybl,1,0,1,0.14,,Information TechnologyGamingVirtual Reality,,,,,
YBM,"Seoul, Seoul-t'ukpyolsi, South Korea",4,1,ybm,https://unicorn-nest.com/funds/ybm,4,0,3,0.10,1,Information TechnologyRecruitingArtificial IntelligenceMachine LearningAppsEdTechEducationInternet of ThingsBlockchainQ&amp;A,0.25,,,,
YBR Capital,"United States, California, San Francisco",2,1,ybr-capital,https://unicorn-nest.com/funds/ybr-capital,2,0,2,0.25,1,InternetSoftwareArtificial IntelligenceMachine LearningPhotographyDrone Management,,,SeedEarly Stage Venture,,
YC Partners,"Shanghai, China",20,0,yc-partners,https://unicorn-nest.com/funds/yc-partners,20,0,18,3.33,,E-CommerceInternetInformation TechnologyConsumerInformation ServicesArtificial IntelligenceEducationTravelShoppingSubscription Service,0.05,2,,,
YC Tec,,1,0,yc-tec,https://unicorn-nest.com/funds/yc-tec,1,0,1,,,Augmented RealityVirtual RealityBlockchain,,,,,
YCAB Ventures,"Jakarta Raya, Jakarta, Indonesia",2,0,ycab-ventures,https://unicorn-nest.com/funds/ycab-ventures,2,0,1,0.13,,LogisticsInformation TechnologySoftware EngineeringEducationInternet of Things,,,,,
YCI Limited,,1,0,yci-limited,https://unicorn-nest.com/funds/yci-limited,1,0,1,,,SoftwareGamingWeb Development,,,,,
YCIC Group Highway Operations & Management,"Hunan, Yunnan, China",1,0,ycic-group-highway-operations--management,https://unicorn-nest.com/funds/ycic-group-highway-operations--management,,0,,,,,,,,,
YD Capital,,1,1,yd-capital,https://unicorn-nest.com/funds/yd-capital,1,0,1,,1,Biotechnology,,,,,
YEAST,"Grand Est, Lorraine, France",2,0,yeast,https://unicorn-nest.com/funds/yeast,2,0,1,0.40,,Enterprise Software,0.50,,Seed,,
YEAST,"Grand Est, Lorraine, France",2,0,yeast,https://unicorn-nest.com/funds/yeast,2,0,1,0.40,,Enterprise Software,0.50,,Seed,,
YEAST,"Grand Est, Lorraine, France",2,0,yeast,https://unicorn-nest.com/funds/yeast,2,0,1,0.40,,Enterprise Software,0.50,,Seed,,
YEAST.,"Shanghai, China",2,0,yeast,https://unicorn-nest.com/funds/yeast,2,0,1,0.40,,Enterprise Software,0.50,,Seed,,
YEAST.,"Shanghai, China",2,0,yeast,https://unicorn-nest.com/funds/yeast,2,0,1,0.40,,Enterprise Software,0.50,,Seed,,
YEAST.,"Shanghai, China",2,0,yeast,https://unicorn-nest.com/funds/yeast,2,0,1,0.40,,Enterprise Software,0.50,,Seed,,
YEO,"Istanbul, Kartal, Turkey",1,1,yeo,https://unicorn-nest.com/funds/yeo,1,0,1,0.04,1,ManufacturingEnergyRenewable Energy,,,,,
YES24.com,"Seoul-t'ukpyolsi, Yongdungpo, South Korea",4,0,yes24com,https://unicorn-nest.com/funds/yes24com,,0,,,,,,,,,
YESCO Co. Ltd.,,1,0,yesco-co-ltd,https://unicorn-nest.com/funds/yesco-co-ltd,1,0,1,,,Financial ServicesLending,,,,,
YESSS Electrical,"Leicestershire, Normanton, United Kingdom",1,0,yesss-electrical,https://unicorn-nest.com/funds/yesss-electrical,1,0,1,0.09,,Energy,,,,,
YETI Capital,"United Kingdom, Wallingford",8,3,yeti-capital,https://unicorn-nest.com/funds/yeti-capital,8,0,6,,3,E-CommerceDirect SalesRetailFood and BeverageFashionConsumer ElectronicsEnergyHospitalityWine And SpiritsCoffee,0.25,,,Venture Capital,Active
YF Capital,"China, Shanghai",149,41,yf-capital,https://unicorn-nest.com/funds/yf-capital,,0,,,,,,,,,
YFM Equity Partners,"United Kingdom, Leeds",100,49,yfm-equity-partners,https://unicorn-nest.com/funds/yfm-equity-partners,100,0,81,2.38,49,BiotechnologySoftwareAnalyticsInformation TechnologyHealth CareHealth DiagnosticsSaaSManufacturingComputerTelecommunications,0.19,13,Private Equity,Private equity,Active
YFPharmab,,1,0,yfpharmab,https://unicorn-nest.com/funds/yfpharmab,1,0,1,,,BiotechnologyHealth Care,,,,,
YFY Biotech Management Company,"Taipei, Taiwan",6,0,yfy-biotech-management-company,https://unicorn-nest.com/funds/yfy-biotech-management-company,6,0,6,0.32,,BiotechnologyHealth CareMedicalProduct DesignPharmaceuticalTherapeuticsTest and MeasurementDiabetes,,2,Early Stage VentureLate Stage Venture,,
YFY Global Investment BVI Corp.,,1,0,yfy-global-investment-bvi-corp,https://unicorn-nest.com/funds/yfy-global-investment-bvi-corp,1,0,1,,,SoftwareInternet of ThingsRFID,,1,Late Stage Venture,,
YFY Inc.,"Taipei, Taiwan",3,1,yfy-inc,https://unicorn-nest.com/funds/yfy-inc,3,0,2,0.03,1,LogisticsBiotechnologyHealth CarePharmaceuticalHardwareRFID,0.33,1,Early Stage VentureLate Stage Venture,,
YFounder Lab,"India, Chhattisgarh, India",3,0,yfounder-lab,https://unicorn-nest.com/funds/yfounder-lab,3,0,3,3.00,,Impact InvestingCommunitiesB2C,,,Seed,,
YG Entertainment,"Seoul, Seoul-t'ukpyolsi, South Korea",12,1,yg-entertainment,https://unicorn-nest.com/funds/yg-entertainment,12,0,10,0.44,1,SoftwareInformation TechnologyMobile3D TechnologyAugmented RealityVirtual RealityMusicMedia and EntertainmentMusic StreamingVideo Streaming,0.08,1,,,
YG Investment,"Seoul, Seoul-t'ukpyolsi, South Korea",11,0,yg-investment,https://unicorn-nest.com/funds/yg-investment,11,0,10,1.57,,E-CommerceSoftwareInformation TechnologySalesMobileMobile AppsDelivery ServiceE-Commerce PlatformsContent CreatorsPet,0.09,,,,
YG PLUS,"Seoul, Seoul-t'ukpyolsi, South Korea",8,0,yg-plus,https://unicorn-nest.com/funds/yg-plus,8,0,7,0.30,,SoftwareInformation TechnologyGamingArtificial IntelligenceAppsEdTechEducationRoboticsAutonomous VehiclesFantasy Sports,,1,,,
YGG Southeast Asia,,5,0,ygg-southeast-asia,https://unicorn-nest.com/funds/ygg-southeast-asia,5,0,3,,,RacingSerious Games,0.40,,,,
YGSOFT,"Guangdong, Zhuhai, China",1,0,ygsoft,https://unicorn-nest.com/funds/ygsoft,1,0,1,0.04,,Information ServicesProject Management,,,,,
YI Capital,"China, Beijing",27,5,yi-capital,https://unicorn-nest.com/funds/yi-capital,27,0,25,2.70,5,E-CommerceInternetSoftwareFinancial ServicesEnterpriseMobileArtificial IntelligenceSecurityVideo GamesAgriculture,0.07,,Early Stage Venture,Venture Capital,Active
YI Technology,"United States, California, Sunnyvale",1,0,yi-technology,https://unicorn-nest.com/funds/yi-technology,1,0,1,0.14,,Artificial Intelligence,,,,,
YILDIZ HOLDING,"Istanbul, Istanbul, Turkey",1,0,yildiz-holding,https://unicorn-nest.com/funds/yildiz-holding,1,0,1,0.01,,E-CommerceMobileArtificial IntelligenceMachine LearningSaaSBig DataE-Commerce Platforms,,,,,
YILING HEALTH CENTER,"Hebei, Shijiazhuang, China",1,1,yiling-health-center,https://unicorn-nest.com/funds/yiling-health-center,1,0,1,,1,Health CareMedical DeviceHardware,,,,,
YIMAI,,1,0,yimai,https://unicorn-nest.com/funds/yimai,1,0,1,,,Hardware,,1,,,
YIMI,"Guangdong, Guangzhou, China",12,1,yimi,https://unicorn-nest.com/funds/yimi,12,0,12,,1,Information TechnologyMobileInformation ServicesFinanceArtificial IntelligenceHealth CareChildrenTelecommunicationsInformation and Communications Technology (ICT)Toys,,1,,,
YINFUND,"Shanghai, China",1,0,yinfund,https://unicorn-nest.com/funds/yinfund,1,0,1,0.12,,E-CommerceB2BShopping,,1,,,
YIT Ventures,,2,1,yit-ventures,https://unicorn-nest.com/funds/yit-ventures,2,0,2,,1,SoftwareAnalyticsInformation TechnologySaaSBig DataProperty ManagementSmart BuildingSmart CitiesEnergy Management,,,,,
YJ Capital,"Chiyoda, Japan",134,19,yj-capital,https://unicorn-nest.com/funds/yj-capital,134,0,91,11.17,19,InternetTransportationSoftwareInformation TechnologyFood and BeverageAppsContentMarketingAdvertisingTask Management,0.32,19,SeedEarly Stage VentureLate Stage Venture,,
YJM Games,"Seoul, Seoul-t'ukpyolsi, South Korea",1,0,yjm-games,https://unicorn-nest.com/funds/yjm-games,1,0,1,,,GamingBlockchain,,,,,
YK Bioventures,"United States, California, San Francisco",4,1,yk-bioventures,https://unicorn-nest.com/funds/yk-bioventures,4,0,4,4.00,1,BiotechnologyHealth CareMedicalLife SciencePharmaceuticalTherapeuticsBiopharma,,,,,
YK Capital,,1,0,yk-capital,https://unicorn-nest.com/funds/yk-capital,1,0,1,,,InternetSoftwareArtificial IntelligenceEdTechEducation,,,,,
YKK AP,"Tokyo, Japan",2,0,ykk-ap,https://unicorn-nest.com/funds/ykk-ap,2,0,2,0.03,,SoftwareInformation TechnologyMarketingTask ManagementSales AutomationProduct Research,,,,,
YKT,"Tokyo, Japan",1,0,ykt,https://unicorn-nest.com/funds/ykt,1,0,1,,,ManufacturingIndustrial DesignRISCNintendo,,,,,
YL Ventures,"United States, Mill Valley",60,17,yl-ventures,https://unicorn-nest.com/funds/yl-ventures,60,0,28,3.53,17,AutomotiveSoftwareAnalyticsInformation TechnologySaaSEnterprise SoftwareCyber SecurityNetwork SecuritySecurityCloud Security,0.53,8,SeedEarly Stage Venture,Venture Capital,Active
YM Capital,,4,0,ym-capital,https://unicorn-nest.com/funds/ym-capital,4,0,4,,,SoftwareFinTechFinanceCyber SecurityBitcoinCryptocurrencyBlockchain,,,,,
YMC,"Kyoto, Kyoto Prefecture, Japan",1,0,ymc,https://unicorn-nest.com/funds/ymc,1,0,1,0.02,,Information ServicesDocument ManagementManufacturingBusiness Information Systems,,,,,
YMC Investment,"Hangzhou, Zhejiang, China",6,1,ymc-investment,https://unicorn-nest.com/funds/ymc-investment,6,0,6,0.67,1,MobileHealth CareManufacturingMedical DeviceMedicalProduct DesignVirtual RealityHardwareSemiconductorElectronics,,,,,
YMCI Group,"Yunnan, Kunming, China",4,1,ymci-group,https://unicorn-nest.com/funds/ymci-group,4,0,4,,1,AutomotiveTransportationRentalTrainingTravelDigital EntertainmentService IndustryTourismArtPerforming Arts,,2,,,
YMK Fund,,1,0,ymk-fund,https://unicorn-nest.com/funds/ymk-fund,1,0,1,,,CryptocurrencyBlockchain,,,,,
YMS Mobitech,,1,0,yms-mobitech,https://unicorn-nest.com/funds/yms-mobitech,1,0,1,,,E-LearningWeb AppsTutoring,,,,,
YMT,"Gyeonggi-do, Kyonggi-do, South Korea",1,0,ymt,https://unicorn-nest.com/funds/ymt,1,0,1,0.04,,ManufacturingIndustrial Manufacturing,,,,,
YNOT Media,"Kaunas County, Kaunas, Lithuania",1,1,ynot-media,https://unicorn-nest.com/funds/ynot-media,1,0,1,0.14,1,Developer PlatformAnimation,,,,,
YOBU CAPITAL VENTURES,,1,0,yobu-capital-ventures,https://unicorn-nest.com/funds/yobu-capital-ventures,1,0,1,,,SoftwareInformation TechnologyB2BBig DataInternet of ThingsAgTechSatellite Communication,,,,,
YOBU CAPITAL VENTURES SL,,1,0,yobu-capital-ventures-sl,https://unicorn-nest.com/funds/yobu-capital-ventures-sl,1,0,1,,,SoftwareInformation TechnologyB2BBig DataInternet of ThingsAgTechSatellite Communication,,,,,
YOFOTO,,1,0,yofoto,https://unicorn-nest.com/funds/yofoto,1,0,1,,,BiotechnologyHealth CareTherapeuticsClinical Trials,,1,,,
YOLO INDONESIA,"Jawa Timur, Surabaya, Indonesia",1,0,yolo-indonesia,https://unicorn-nest.com/funds/yolo-indonesia,1,0,1,0.11,,Information TechnologyMobileFood and BeverageSaaSAppsMobile AppsPoint of Sale,,,,,
YOLO Ventures,"Quebec, Montreal, Canada",4,0,yolo-ventures,https://unicorn-nest.com/funds/yolo-ventures,4,0,3,,,Venture CapitalInformation TechnologyGamingBlockchainMedia and EntertainmentEthereum,0.25,,,,
YONDEN,"Kagawa Prefecture, Takamatsu, Japan",9,2,yonden,https://unicorn-nest.com/funds/yonden,9,0,9,0.13,2,SoftwareInformation TechnologyManufacturingMarketingConsultingEnergyRenewable EnergyTask ManagementEnvironmental ConsultingBattery,,,,,
YOSHIDA-GUMI,"Hyogo Prefecture, Himeji, Japan",2,0,yoshida-gumi,https://unicorn-nest.com/funds/yoshida-gumi,2,0,1,0.02,,E-CommerceSupply Chain ManagementRetail Technology,0.50,,,,
YOSHIDASANGYO,,1,0,yoshidasangyo,https://unicorn-nest.com/funds/yoshidasangyo,1,0,1,,,LogisticsE-CommerceParking,,1,,,
YOU IS NOW Accelerator,"Berlin, Berlin, Germany",12,1,you-is-now-accelerator,https://unicorn-nest.com/funds/you-is-now-accelerator,12,0,11,1.00,1,AutomotiveSoftwareMobileOnline PortalsAppsNavigationTelecommunicationsInternet of ThingsSmart CitiesParking,0.08,2,,,
YOUXEL Ventures,,1,0,youxel-ventures,https://unicorn-nest.com/funds/youxel-ventures,1,0,1,,,LogisticsE-CommerceLast Mile TransportationSupply Chain ManagementSoftwareDelivery ServiceSame Day DeliveryFood DeliveryWarehousing,,,SeedEarly Stage Venture,,
YOZOSOFT,"Jiangsu, Wuxi Shi, China",1,0,yozosoft,https://unicorn-nest.com/funds/yozosoft,1,0,1,0.05,,Information TechnologySaaSPaaS,,,,,
YPSILON Group,"Tokyo, Japan",1,0,ypsilon-group,https://unicorn-nest.com/funds/ypsilon-group,1,0,1,0.05,,Network SecurityCloud Security,,,,,
YPlanet,"Taejon-jikhalsi, Daejeon, South Korea",2,0,yplanet,https://unicorn-nest.com/funds/yplanet,2,0,2,,,Health DiagnosticsCommunitiesManufacturingMedicalMarketplaceCoffee,,,,,
YS Capital Partners,,3,0,ys-capital-partners,https://unicorn-nest.com/funds/ys-capital-partners,3,0,3,0.60,,RoboticsManufacturingIndustrial Automation,,,Private Equity,,
YS Investment,"Hangzhou, Zhejiang, China",5,0,ys-investment,https://unicorn-nest.com/funds/ys-investment,5,0,4,,,E-CommerceInternetFinTechB2BArtificial IntelligenceHealth CareHospitalAppsMedicalTobacco,0.20,,,,
YS holdings,"Minato, Japan",2,0,ys-holdings,https://unicorn-nest.com/funds/ys-holdings,2,0,1,,,Professional ServicesAdvertisingBusiness DevelopmentService Industry,0.50,,,,
