Investor Name,Location,Total Investments,Lead Investments,company_name_hyphens,URL,Total investments,Average round size,Portfolio companies,Rounds per year,Lead investments,Areas of investment,Follow on index,Exits,Stages of investment,Type,Status
ZTO Express,"Shanghai, China",5,1,zto-express,https://unicorn-nest.com/funds/zto-express,5,0,5,0.26,1,LogisticsE-CommerceInternetSupply Chain ManagementSoftwareInformation TechnologyFood and BeverageDeliveryAdvertising,,,,,
ZTP - Ze 12th Player,"Nord-Pas-de-Calais, Lille, France",5,1,ztp---ze-12th-player,https://unicorn-nest.com/funds/ztp---ze-12th-player,,0,,,,,,,,,
ZUU,"Chiyoda, Japan",3,1,zuu,https://unicorn-nest.com/funds/zuu,3,0,2,0.33,1,Asset ManagementFinancial ServicesFinanceArtificial IntelligenceCrowdfunding,0.33,,,,
ZVest,,1,1,zvest,https://unicorn-nest.com/funds/zvest,1,0,1,,1,AccessoriesInternet RetailE-CommerceRetailShoppingShoes,,1,Late Stage Venture,,
ZWC Partners,"Hong Kong Island, Hong Kong, China",38,6,zwc-partners,https://unicorn-nest.com/funds/zwc-partners,38,0,34,4.22,6,LogisticsInternetSoftwareInformation TechnologyMobileArtificial IntelligenceMachine LearningSaaSEducationRobotics,0.11,1,Early Stage VentureLate Stage Venture,,
ZX Capital,,1,0,zx-capital,https://unicorn-nest.com/funds/zx-capital,1,0,1,,,Health CareGeneticsMedicalTherapeutics,,,,,
ZX Ventures,"United States, New York",26,1,zx-ventures,https://unicorn-nest.com/funds/zx-ventures,26,0,22,3.71,1,E-CommerceSoftwareRetailArtificial IntelligenceFood and BeverageMachine LearningRoboticsWine And SpiritsFood DeliveryBrewing,0.15,2,,CVC,Active
ZZ Capital,"Beijing, Beijing, China",6,1,zz-capital,https://unicorn-nest.com/funds/zz-capital,6,0,6,0.55,1,Information ServicesArtificial IntelligenceHealth CareBig DataMedical DeviceContentPharmaceuticalVideoAdvertisingAnimation,,2,Private EquityLate Stage Venture,,
ZZ Capital International,,2,1,zz-capital-international,https://unicorn-nest.com/funds/zz-capital-international,2,0,2,,1,Financial ServicesFinanceTrainingEnergyRenewable EnergyFinancial ExchangesBuilding Maintenance,,,,,
Zabel Companies,"United States, Charlotte",0,,zabel-companies,https://unicorn-nest.com/funds/zabel-companies,,0,,,,,,,,Private equity,Active
Zabka Polska,"Wielkopolskie, Poznan, Poland",1,0,zabka-polska,https://unicorn-nest.com/funds/zabka-polska,1,0,1,0.04,,SoftwareRetail TechnologyArtificial IntelligenceMachine LearningComputer VisionShopping,,,,,
Zabolis Partners,"Vilniaus Apskritis, Vilnius, Lithuania",1,0,zabolis-partners,https://unicorn-nest.com/funds/zabolis-partners,1,0,1,,,Health DiagnosticsSemiconductorElectronicsAgricultureSensorIndustrial Engineering,,,,,
Zach,,1,0,zach,https://unicorn-nest.com/funds/zach,1,0,1,,,Renewable EnergyWind Energy,,,,,
ZachXBT,,1,0,zachxbt,https://unicorn-nest.com/funds/zachxbt,,0,,,,,,,,,
Zachary Construction,,1,0,zachary-construction,https://unicorn-nest.com/funds/zachary-construction,1,0,1,,,E-CommerceMobileMarketplaceConstruction,,,,,
Zachry Construction Corporation,"United States, Texas, San Antonio",1,0,zachry-construction-corporation,https://unicorn-nest.com/funds/zachry-construction-corporation,1,0,1,0.01,,Real EstateSoftwareConstruction,,,,,
Zacua Ventures,"United States, San Francisco",16,5,zacua-ventures,https://unicorn-nest.com/funds/zacua-ventures,16,0,11,,5,SoftwareInformation TechnologyArtificial IntelligenceSaaSCloud ComputingConstructionMarketingComputerConsultingArchitecture,0.31,,SeedEarly Stage Venture,Venture Capital,Active
Zaffre Investments,"United States, Massachusetts, Boston",14,2,zaffre-investments,https://unicorn-nest.com/funds/zaffre-investments,14,0,8,1.56,2,BiotechnologyInformation TechnologyHealth CareHealth DiagnosticsWellnessMedical DeviceMedicalCloud Data ServicesData IntegrationPharmaceutical,0.43,2,SeedEarly Stage VentureLate Stage Venture,,
Zag (BBH),"England, London, United Kingdom",2,0,zag-bbh,https://unicorn-nest.com/funds/zag-bbh,2,0,2,,,Artificial IntelligenceMachine LearningEducationComputer VisionInternet of ThingsManagement ConsultingSensor,,,,,
Zag Capital,"United States, Austin",5,0,zag-capital,https://unicorn-nest.com/funds/zag-capital,5,0,4,1.67,,SoftwareB2BMobileDeveloper PlatformInternet of ThingsBlockchainSmart HomeWeb DevelopmentHome ServicesB2C,0.20,,SeedEarly Stage Venture,Venture Capital,Active
Zagadat Capital,,1,0,zagadat-capital,https://unicorn-nest.com/funds/zagadat-capital,1,0,1,,,Financial ServicesPaymentsMobile Apps,,,,,
Zagat,"United States, New York, New York",1,0,zagat,https://unicorn-nest.com/funds/zagat,1,0,1,0.02,,PublishingRestaurantsLocalConsumer Reviews,,,,,
Zaihui,"Shanghai, Shanghai, China",1,0,zaihui,https://unicorn-nest.com/funds/zaihui,1,0,1,0.12,,E-CommerceRetailFood and Beverage,,,,,
Zain Group,"Kuwait, Al Kuwayt, Safat",3,1,zain-group,https://unicorn-nest.com/funds/zain-group,3,0,3,0.07,1,"Broadcasting, Radio and TelevisionMovies, Music and EntertainmentInternetTransportationSoftwareMobile AppsTravelDigital EntertainmentVideo Streaming",,1,,Corporate investor,Active
Zain Ventures,,1,0,zain-ventures,https://unicorn-nest.com/funds/zain-ventures,1,0,1,1.00,,Financial ServicesFinTech,,,,,
Zaishi Capital,,3,2,zaishi-capital,https://unicorn-nest.com/funds/zaishi-capital,3,0,3,,2,Energy StorageEnterprise SoftwareManufacturingEnergyPower GridLaser,,,Early Stage Venture,,
Zaitoun Ventures,,1,0,zaitoun-ventures,https://unicorn-nest.com/funds/zaitoun-ventures,,0,,,,,,,,,
Zaitus Partners,"Tokyo, Japan",1,1,zaitus-partners,https://unicorn-nest.com/funds/zaitus-partners,1,0,1,0.06,1,Business IntelligenceSocial MediaData MiningBioinformatics,,1,,,
